iter	RMSE
0	698.7830065
1	686.2330026
2	686.2330026
3	675.8122791
4	667.137706
5	660.1062527
6	653.9640154
7	648.9959137
8	644.7277947
9	641.1871112
10	638.3039076
11	636.1484674
12	634.2437029
13	632.6063337
14	631.2434999
15	630.2246135
16	629.2273378
17	628.5128682
18	627.9012135
19	627.3821905
20	626.7013023
21	626.1418128
22	625.7722772
23	625.2565241
24	624.8625407
25	624.6700152
26	623.4567783
27	623.2576593
28	623.091776
29	622.9850532
30	622.4594686
31	622.3085016
32	622.000958
33	621.4233477
34	621.173447
35	621.0137477
36	620.9628171
37	620.8534429
38	620.6700206
39	620.4861339
40	620.2550792
41	620.1504858
42	619.8138548
43	619.773245
44	619.6710912
45	619.6302541
46	619.4557652
47	619.3241343
48	618.9129442
49	618.4019387
50	618.2696846
51	618.1273821
52	618.0364773
53	616.9192871
54	616.8364699
